name,salary,company,area,experience,degree,skills,url
AI 产品经理实习生,180-220元/天,小宿科技,上海,,本科,,https://www.zhipin.com/job_detail/d4af28a46bfe8c060nN83d64EVRZ.html
评论互动AI产品经理（用户产品）,40-70K·16薪,上海某大型互联网公司,上海,经验不限,学历不限,,https://www.zhipin.com/job_detail/3230de5594e90a4e0nJ82dS9ElVQ.html
AI产品经理（AI Native/数据库）-上海/苏州,45-70K·15薪,智慧芽,上海·徐汇区·漕河泾,3-5年,本科,"用户/功能产品,B端产品,商业产品",https://www.zhipin.com/job_detail/7cba1d1f40154b1a0nJ_3t27F1NY.html
集团管培生-AI产品经理,15-20K,爱回收,上海,在校/应届,本科,AI产品经理,https://www.zhipin.com/job_detail/5c7efb0215e9d0a70nN53Nq_F1NV.html
AI产品经理（定向培养）,15-28K,上海思亮,上海·静安区·汶水路,1-3年,本科,,https://www.zhipin.com/job_detail/e23d72614e15a4d10315396_F1NV.html
ai产品经理,30-60K·16薪,小马星河,上海·徐汇区·漕河泾,经验不限,本科,,https://www.zhipin.com/job_detail/f7701e0ca97faa150nJ50ty5ElFS.html
ai产品经理,150-250元/天,美团,上海·徐汇区·漕河泾,,本科,"视觉类AI,AI机器人,C端产品,机器学习类AI,语音类AI",https://www.zhipin.com/job_detail/1eff4a392e2bac2e0nN62t-8GVFZ.html
AI产品经理,10-14K·13薪,百联全渠道,上海·黄浦区·外滩,在校/应届,本科,,https://www.zhipin.com/job_detail/16ef91fc7d12a6f00nJ-3d29FFJQ.html
ai产品经理（音乐AI工具与Agent协同方向）,15-30K·14薪,看见音乐,上海·虹口区·四川北路,1年以内,本科,,https://www.zhipin.com/job_detail/d2f0051a95df9e470nF40t--FlRU.html
AI产品经理,30-60K·15薪,字节跳动,上海·杨浦区·五角场,经验不限,本科,,https://www.zhipin.com/job_detail/03e717e215c8036c0nJz0t65EVFZ.html
AI产品经理,35-60K·14薪,某人工智能公司,上海,经验不限,本科,,https://www.zhipin.com/job_detail/f88c33fedfa7ebdf0nJ72di7ElFV.html
AI产品经理-多方向，行业不限,40-65K·15薪,某大型汽车研发/制造公司,上海,5-10年,本科,,https://www.zhipin.com/job_detail/05c4f951d1f92beb0nN-2tS0ElpS.html
AI产品经理,15-20K,思创网络,上海·杨浦区·五角场,3-5年,本科,"B端产品,语义类AI,语音类AI",https://www.zhipin.com/job_detail/de99681c9ac02ca30nN52N60EFNQ.html
AI产品经理,面议,淘宝闪购,上海,在校/应届,本科,校招,https://www.zhipin.com/job_detail/0fdede64e02935fc0nJ52NW8GFVQ.html
ai产品经理,18-25K,上海某小型在线教育公司,上海,3-5年,本科,,https://www.zhipin.com/job_detail/50d5d331841f01e00nN-396-EVRQ.html
ai产品经理,30-35K,某大型互联网公司,上海,3-5年,本科,,https://www.zhipin.com/job_detail/283ea399ea75b05c0nN829S0GFRV.html
ai产品经理,15-30K,新美网,上海·青浦区·徐泾,3-5年,本科,,https://www.zhipin.com/job_detail/b3a3aba228bfec470nN-2tq1FFRW.html
AI产品经理（B端 AI Agent 平台方向）,10-15K,意言科技,上海·浦东新区·临港,经验不限,本科,,https://www.zhipin.com/job_detail/9cef7633a2bca6300nN629-8GVNS.html
AI产品经理,16-18K,微创软件,上海·徐汇区·漕河泾,3-5年,本科,"座舱,B端产品,评测,医疗,语音类AI,大模型,智能汽车,智能医疗",https://www.zhipin.com/job_detail/a94f0f30785d10af0nN52d-1EVRQ.html
ai产品经理,50-80K·13薪,某中型人工智能公司,上海,5-10年,本科,"B端产品,医疗产品,AI产品",https://www.zhipin.com/job_detail/658a55041ef6e0350nN-0t-1GVtZ.html
AI产品经理,25-50K,一起住好房,北京,经验不限,本科,,https://www.zhipin.com/job_detail/2958b83bec4c8bb10nN_09y1F1JW.html
AI产品经理（AIBP/FDE）,11-12K,一堂教育,北京·朝阳区·大望路,经验不限,本科,,https://www.zhipin.com/job_detail/06d5f10b6ee2c14e0nN-0tm6E1pW.html
AI产品经理（ToB方向）,50-75K·14薪,字节跳动,北京·朝阳区·西坝河,经验不限,本科,ai产品,https://www.zhipin.com/job_detail/0c59e2391132c1750nJ_2tq0FVRT.html
AI产品经理【2027届校招】【47903】,18-22K·16薪,汽车之家,北京,在校/应届,本科,,https://www.zhipin.com/job_detail/fa71abb6a7b1e2660nN50tu4FVpT.html
AI产品经理,40-50K,某大型汽车研发/制造公司,北京,5-10年,本科,,https://www.zhipin.com/job_detail/ecb405c8f934760b0nJ42920GFZW.html
